ms_today,input_voltage,temp_mos_max,temp_mos_1,temp_mos_2,temp_mos_3,temp_motor,current_motor,current_in,d_axis_current,q_axis_current,erpm,duty_cycle,amp_hours_used,amp_hours_charged,watt_hours_used,watt_hours_charged,tachometer,tachometer_abs,encoder_position,fault_code,vesc_id,d_axis_voltage,q_axis_voltage,ms_today_setup,amp_hours_setup,amp_hours_charged_setup,watt_hours_setup,watt_hours_charged_setup,battery_level,battery_wh_tot,current_in_setup,current_motor_setup,speed_meters_per_sec,tacho_meters,tacho_abs_meters,num_vescs,ms_today_imu,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_posTime,gnss_lat,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,gnss_hAcc,gnss_vAcc,
26230768,12.2,36,0,0,0,-75.3,0.09,0,-0.09,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.044,0,89,0.016,0.013,26230757,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.14,0,586.276,594.119,1,26230764,0.0113504,0.00774953,-2.3774,-0.00830078,-0.0112305,1.04346,-0.183105,-0.305176,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230786,12.2,36,0,0,0,-75.3,0.07,0,-0.08,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270,0,89,0.015,0.011,26230770,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.1,0,586.276,594.119,1,26230780,0.0120099,0.00649703,-2.37737,-0.00585938,-0.0112305,1.04004,-0.244141,-0.12207,0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230806,12.2,36,0,0,0,-75.2,0.08,0,-0.08,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.025,0,89,0.015,0.012,26230788,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.08,0,586.276,594.119,1,26230802,0.0125892,0.00614886,-2.37731,-0.00537109,-0.0141602,1.04199,-0.366211,-0.12207,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230828,12.2,36,0,0,0,-75.1,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.017,0,89,0.015,0.012,26230809,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.1,0,586.276,594.119,1,26230822,0.0129976,0.00680085,-2.37727,-0.00683594,-0.0141602,1.04834,-0.12207,-0.183105,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230846,12.2,36,0,0,0,-75.1,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.026,0,89,0.015,0.012,26230830,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.07,0,586.276,594.119,1,26230844,0.0119453,0.00746059,-2.37726,-0.00976563,-0.0131836,1.05078,-0.427246,-0.427246,-0.183105,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230870,12.2,36,0,0,0,-75.1,0.07,0,-0.08,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.026,0,89,0.015,0.012,26230849,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.08,0,586.276,594.119,1,26230864,0.0126098,0.00538931,-2.3772,-0.00585938,-0.0131836,1.05225,-0.366211,-0.427246,-0.244141,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230890,12.2,36,0,0,0,-75.2,0.07,0,-0.08,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270,0,89,0.015,0.012,26230872,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.13,0,586.276,594.119,1,26230886,0.0141609,0.00703585,-2.37715,-0.0078125,-0.0146484,1.03955,-0.366211,-0.12207,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230910,12.2,36,0,0,0,-75.1,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.007,0,89,0.015,0.012,26230892,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.21,0,586.276,594.119,1,26230905,0.0122692,0.00645341,-2.3771,-0.00683594,-0.00927734,1.04199,-0.183105,-0.12207,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230931,12.2,36,0,0,0,-75.1,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.02,0,89,0.015,0.012,26230913,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.09,0,586.276,594.119,1,26230927,0.0114826,0.00618781,-2.37706,-0.00585938,-0.012207,1.04492,-0.12207,-0.0610352,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230951,12.2,36,0,0,0,-75.2,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.014,0,89,0.015,0.012,26230933,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.05,0,586.276,594.119,1,26230948,0.0109649,0.00653004,-2.37702,-0.00830078,-0.0136719,1.05225,-0.12207,-0.183105,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
